starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:57:14 2014	1392839834	0	807	807	807
Wed Feb 19 21:57:13 2014	1392839833	0	807	807	807
Wed Feb 19 21:57:05 2014	1392839825	0	807	807	807
Wed Feb 19 21:57:04 2014	1392839824	0	807	808	807
Wed Feb 19 21:57:15 2014	1392839835	0	808	808	808
Wed Feb 19 21:57:13 2014	1392839833	0	808	808	807
Wed Feb 19 21:57:15 2014	1392839835	0	808	808	808
Wed Feb 19 21:57:14 2014	1392839834	0	808	809	808
Wed Feb 19 21:57:05 2014	1392839825	0	809	809	809
Wed Feb 19 21:57:13 2014	1392839833	0	809	809	809
Wed Feb 19 21:57:15 2014	1392839835	0	809	809	809
Wed Feb 19 21:57:15 2014	1392839835	0	809	809	809
Wed Feb 19 21:57:15 2014	1392839835	0	809	810	809
Wed Feb 19 21:57:15 2014	1392839835	0	810	810	809
Wed Feb 19 21:57:05 2014	1392839825	0	810	810	810
Wed Feb 19 21:57:15 2014	1392839835	0	810	810	810
Wed Feb 19 21:57:15 2014	1392839835	0	810	810	810
Wed Feb 19 21:57:15 2014	1392839835	0	810	810	810
Wed Feb 19 21:57:15 2014	1392839835	0	810	810	810
Wed Feb 19 21:57:05 2014	1392839825	0	811	811	811
Wed Feb 19 21:57:05 2014	1392839825	0	811	811	811
Wed Feb 19 21:57:05 2014	1392839825	0	811	811	811
Wed Feb 19 21:57:05 2014	1392839825	0	811	811	811
Wed Feb 19 21:57:04 2014	1392839824	0	811	811	811
Wed Feb 19 21:57:15 2014	1392839835	0	811	811	811
Wed Feb 19 21:57:05 2014	1392839825	0	811	812	811
Wed Feb 19 21:57:15 2014	1392839835	0	811	812	811
Wed Feb 19 21:57:05 2014	1392839825	0	812	812	812
Wed Feb 19 21:57:04 2014	1392839824	0	812	812	812
Wed Feb 19 21:57:05 2014	1392839825	0	812	812	811
Wed Feb 19 21:57:04 2014	1392839824	0	812	813	812
Wed Feb 19 21:57:05 2014	1392839825	0	813	813	812
Wed Feb 19 21:57:06 2014	1392839826	0	813	813	813
Wed Feb 19 21:57:04 2014	1392839824	0	813	814	813
Wed Feb 19 21:57:15 2014	1392839835	0	814	814	814
Wed Feb 19 21:57:15 2014	1392839835	0	815	815	814
Wed Feb 19 21:57:05 2014	1392839825	0	815	815	815
Wed Feb 19 21:57:05 2014	1392839825	0	816	816	815
Wed Feb 19 21:57:15 2014	1392839835	0	816	816	815
Wed Feb 19 21:57:15 2014	1392839835	0	816	816	816
Wed Feb 19 21:57:05 2014	1392839825	0	816	816	816
Wed Feb 19 21:57:15 2014	1392839835	0	816	816	816
Wed Feb 19 21:57:05 2014	1392839825	0	816	817	816
Wed Feb 19 21:57:05 2014	1392839825	0	817	817	816
Wed Feb 19 21:57:06 2014	1392839826	0	817	817	817
Wed Feb 19 21:57:15 2014	1392839835	0	817	817	817
Wed Feb 19 21:57:05 2014	1392839825	0	817	817	817
Wed Feb 19 21:57:15 2014	1392839835	0	818	818	818
Wed Feb 19 21:57:15 2014	1392839835	0	818	818	818
Wed Feb 19 21:57:04 2014	1392839824	0	818	818	818
Wed Feb 19 21:57:05 2014	1392839825	0	819	819	819
Wed Feb 19 21:57:15 2014	1392839835	0	819	819	819
Wed Feb 19 21:57:05 2014	1392839825	0	819	820	819
Wed Feb 19 21:57:15 2014	1392839835	0	820	820	819
Wed Feb 19 21:57:04 2014	1392839824	0	820	820	820
Wed Feb 19 21:57:15 2014	1392839835	0	820	820	820
Wed Feb 19 21:57:05 2014	1392839825	0	820	820	820
Wed Feb 19 21:57:05 2014	1392839825	0	821	821	820
Wed Feb 19 21:57:15 2014	1392839835	0	821	821	821
Wed Feb 19 21:57:05 2014	1392839825	0	821	821	819
Wed Feb 19 21:57:05 2014	1392839825	0	821	821	821
Wed Feb 19 21:57:15 2014	1392839835	0	821	821	821
Wed Feb 19 21:57:05 2014	1392839825	0	822	822	821
Wed Feb 19 21:57:15 2014	1392839835	0	823	823	823
Wed Feb 19 21:57:04 2014	1392839824	0	823	823	823
Wed Feb 19 21:57:15 2014	1392839835	0	823	823	823
Wed Feb 19 21:57:04 2014	1392839824	0	825	825	825
Wed Feb 19 21:57:04 2014	1392839824	0	825	825	825
Wed Feb 19 21:57:04 2014	1392839824	0	826	826	826
Wed Feb 19 21:57:04 2014	1392839824	0	829	829	828
Wed Feb 19 21:57:04 2014	1392839824	0	829	829	829
Wed Feb 19 21:57:05 2014	1392839825	0	829	829	829
Wed Feb 19 21:57:05 2014	1392839825	0	830	830	829
Wed Feb 19 21:57:04 2014	1392839824	0	831	831	831
Wed Feb 19 21:57:04 2014	1392839824	0	832	832	832
Wed Feb 19 21:57:04 2014	1392839824	0	833	833	833
Wed Feb 19 21:57:05 2014	1392839825	0	834	834	833
Wed Feb 19 21:57:05 2014	1392839825	0	836	836	835
Wed Feb 19 21:57:05 2014	1392839825	0	838	838	838
Wed Feb 19 21:57:05 2014	1392839825	0	840	840	840
Wed Feb 19 21:57:06 2014	1392839826	0	847	847	847
Wed Feb 19 21:57:06 2014	1392839826	0	849	849	849
Wed Feb 19 21:57:06 2014	1392839826	0	849	849	849
Wed Feb 19 21:57:06 2014	1392839826	0	849	849	849
Wed Feb 19 21:57:06 2014	1392839826	0	851	851	851
Wed Feb 19 21:57:06 2014	1392839826	0	855	855	855
Wed Feb 19 21:57:05 2014	1392839825	0	859	859	858
Wed Feb 19 21:57:06 2014	1392839826	0	865	865	864
Wed Feb 19 21:57:05 2014	1392839825	0	865	865	865
Wed Feb 19 21:57:05 2014	1392839825	0	865	865	865
Wed Feb 19 21:57:06 2014	1392839826	0	867	867	867
Wed Feb 19 21:57:06 2014	1392839826	0	867	867	867
Wed Feb 19 21:57:05 2014	1392839825	0	867	867	867
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	868
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	868
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	869
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	869
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	868
Wed Feb 19 21:57:06 2014	1392839826	0	869	869	868
Wed Feb 19 21:57:06 2014	1392839826	0	869	870	869
Wed Feb 19 21:57:06 2014	1392839826	0	870	870	870
Wed Feb 19 21:57:06 2014	1392839826	0	870	870	870
Wed Feb 19 21:57:06 2014	1392839826	0	870	870	870
Wed Feb 19 21:57:06 2014	1392839826	0	871	871	870
Wed Feb 19 21:57:06 2014	1392839826	0	871	871	870
Wed Feb 19 21:57:06 2014	1392839826	0	871	871	870
Wed Feb 19 21:57:06 2014	1392839826	0	871	871	871
Wed Feb 19 21:57:06 2014	1392839826	0	871	871	871
Wed Feb 19 21:57:06 2014	1392839826	0	872	872	872
Wed Feb 19 21:57:06 2014	1392839826	0	872	872	872
Wed Feb 19 21:57:06 2014	1392839826	0	872	872	872
Wed Feb 19 21:57:06 2014	1392839826	0	873	873	872
Wed Feb 19 21:57:06 2014	1392839826	0	874	874	874
Wed Feb 19 21:57:06 2014	1392839826	0	875	875	874
Wed Feb 19 21:57:06 2014	1392839826	0	876	876	874
Wed Feb 19 21:57:06 2014	1392839826	0	876	876	875
Wed Feb 19 21:57:06 2014	1392839826	0	881	881	881
Wed Feb 19 21:57:05 2014	1392839825	0	882	882	882
Wed Feb 19 21:57:06 2014	1392839826	0	884	884	884
Wed Feb 19 21:57:06 2014	1392839826	0	885	885	884
Wed Feb 19 21:57:06 2014	1392839826	0	885	885	885
Wed Feb 19 21:57:06 2014	1392839826	0	885	885	885
Wed Feb 19 21:57:06 2014	1392839826	0	887	887	887
Wed Feb 19 21:57:05 2014	1392839825	0	890	890	890
Wed Feb 19 21:57:05 2014	1392839825	0	892	892	892
Wed Feb 19 21:57:06 2014	1392839826	0	892	892	892
Wed Feb 19 21:57:06 2014	1392839826	0	893	893	892
Wed Feb 19 21:57:05 2014	1392839825	0	893	893	893
Wed Feb 19 21:57:06 2014	1392839826	0	898	898	898
Wed Feb 19 21:57:05 2014	1392839825	0	905	905	905
