starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 20 20:18:18 2014	1392920298	0	1082	1082	1060
Thu Feb 20 20:18:16 2014	1392920296	0	1082	1082	1066
Thu Feb 20 20:18:00 2014	1392920280	0	1082	1082	1065
Thu Feb 20 20:18:06 2014	1392920286	0	1082	1082	1062
Thu Feb 20 20:18:11 2014	1392920291	0	1082	1082	1066
Thu Feb 20 20:18:18 2014	1392920298	0	1082	1082	1068
Thu Feb 20 20:18:03 2014	1392920283	0	1082	1082	1067
Thu Feb 20 20:18:05 2014	1392920285	0	1083	1083	1065
Thu Feb 20 20:18:01 2014	1392920281	0	1083	1083	1065
Thu Feb 20 20:18:02 2014	1392920282	0	1083	1083	1066
Thu Feb 20 20:18:17 2014	1392920297	0	1083	1083	1066
Thu Feb 20 20:18:07 2014	1392920287	0	1083	1083	1068
Thu Feb 20 20:18:20 2014	1392920300	0	1083	1083	1057
Thu Feb 20 20:18:13 2014	1392920293	0	1083	1083	1067
Thu Feb 20 20:18:04 2014	1392920284	0	1083	1083	1065
Thu Feb 20 20:18:04 2014	1392920284	0	1083	1083	1059
Thu Feb 20 20:18:06 2014	1392920286	0	1083	1083	1060
Thu Feb 20 20:18:17 2014	1392920297	0	1083	1083	1065
Thu Feb 20 20:18:07 2014	1392920287	0	1083	1083	1067
Thu Feb 20 20:18:14 2014	1392920294	0	1083	1083	1069
Thu Feb 20 20:18:02 2014	1392920282	0	1083	1083	1067
Thu Feb 20 20:18:09 2014	1392920289	0	1084	1084	1067
Thu Feb 20 20:18:04 2014	1392920284	0	1084	1084	1066
Thu Feb 20 20:18:15 2014	1392920295	0	1084	1084	1067
Thu Feb 20 20:18:08 2014	1392920288	0	1084	1084	1066
Thu Feb 20 20:18:01 2014	1392920281	0	1084	1084	1068
Thu Feb 20 20:18:11 2014	1392920291	0	1084	1084	1065
Thu Feb 20 20:18:02 2014	1392920282	0	1084	1084	1067
Thu Feb 20 20:18:08 2014	1392920288	0	1084	1084	1069
Thu Feb 20 20:18:15 2014	1392920295	0	1084	1084	1068
Thu Feb 20 20:18:16 2014	1392920296	0	1084	1084	1061
Thu Feb 20 20:18:12 2014	1392920292	0	1084	1084	1070
Thu Feb 20 20:18:04 2014	1392920284	0	1084	1084	1068
Thu Feb 20 20:18:19 2014	1392920299	0	1084	1084	1069
Thu Feb 20 20:18:00 2014	1392920280	0	1084	1084	1067
Thu Feb 20 20:18:11 2014	1392920291	0	1084	1084	1070
Thu Feb 20 20:18:13 2014	1392920293	0	1084	1084	1069
Thu Feb 20 20:18:11 2014	1392920291	0	1084	1084	1062
Thu Feb 20 20:18:17 2014	1392920297	0	1084	1084	1060
Thu Feb 20 20:18:04 2014	1392920284	0	1084	1084	1060
Thu Feb 20 20:18:00 2014	1392920280	0	1084	1084	1061
Thu Feb 20 20:18:11 2014	1392920291	0	1084	1085	1065
Thu Feb 20 20:18:02 2014	1392920282	0	1085	1085	1071
Thu Feb 20 20:18:07 2014	1392920287	0	1085	1085	1064
Thu Feb 20 20:18:16 2014	1392920296	0	1085	1085	1059
Thu Feb 20 20:18:07 2014	1392920287	0	1085	1085	1063
Thu Feb 20 20:18:02 2014	1392920282	0	1085	1085	1063
Thu Feb 20 20:18:10 2014	1392920290	0	1085	1085	1068
Thu Feb 20 20:18:10 2014	1392920290	0	1085	1085	1072
Thu Feb 20 20:18:05 2014	1392920285	0	1085	1085	1066
Thu Feb 20 20:18:20 2014	1392920300	0	1085	1085	1053
Thu Feb 20 20:18:20 2014	1392920300	0	1085	1085	1067
Thu Feb 20 20:18:16 2014	1392920296	0	1085	1085	1070
Thu Feb 20 20:18:01 2014	1392920281	0	1085	1085	1067
Thu Feb 20 20:18:06 2014	1392920286	0	1085	1085	1068
Thu Feb 20 20:18:00 2014	1392920280	0	1085	1086	1071
Thu Feb 20 20:18:07 2014	1392920287	0	1086	1086	1072
Thu Feb 20 20:18:09 2014	1392920289	0	1086	1086	1059
Thu Feb 20 20:18:07 2014	1392920287	0	1086	1086	1062
Thu Feb 20 20:18:16 2014	1392920296	0	1086	1086	1070
Thu Feb 20 20:18:19 2014	1392920299	0	1086	1086	1072
Thu Feb 20 20:18:00 2014	1392920280	0	1086	1086	1071
Thu Feb 20 20:18:17 2014	1392920297	0	1086	1086	1071
Thu Feb 20 20:18:18 2014	1392920298	0	1086	1086	1069
Thu Feb 20 20:18:15 2014	1392920295	0	1086	1086	1070
Thu Feb 20 20:18:00 2014	1392920280	0	1086	1086	1063
Thu Feb 20 20:18:18 2014	1392920298	0	1087	1087	1071
Thu Feb 20 20:18:16 2014	1392920296	0	1087	1087	1069
Thu Feb 20 20:18:07 2014	1392920287	0	1087	1087	1060
Thu Feb 20 20:18:00 2014	1392920280	8	1078	1087	1062
Thu Feb 20 20:18:00 2014	1392920280	0	1087	1087	1069
Thu Feb 20 20:18:15 2014	1392920295	0	1087	1087	1073
Thu Feb 20 20:18:05 2014	1392920285	0	1087	1087	1061
Thu Feb 20 20:18:12 2014	1392920292	0	1087	1087	1061
Thu Feb 20 20:18:03 2014	1392920283	0	1087	1087	1073
Thu Feb 20 20:18:17 2014	1392920297	0	1087	1087	1071
Thu Feb 20 20:18:07 2014	1392920287	0	1087	1087	1061
Thu Feb 20 20:18:16 2014	1392920296	0	1087	1087	1069
Thu Feb 20 20:18:18 2014	1392920298	0	1087	1087	1068
Thu Feb 20 20:18:13 2014	1392920293	0	1087	1087	1070
Thu Feb 20 20:18:00 2014	1392920280	0	1087	1087	1071
