starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 17:40:54 2014	1393688454	2	26179	26180	72
Sat Mar 01 17:41:46 2014	1393688506	10	26260	26270	42
Sat Mar 01 17:40:59 2014	1393688459	1	26285	26285	39
Sat Mar 01 17:40:47 2014	1393688447	12	26326	26338	124
Sat Mar 01 17:41:46 2014	1393688506	6	26418	26424	181
Sat Mar 01 17:40:45 2014	1393688445	1	26581	26581	60
Sat Mar 01 17:41:42 2014	1393688502	8	26612	26620	117
Sat Mar 01 17:40:59 2014	1393688459	1	26640	26641	23
Sat Mar 01 17:41:45 2014	1393688505	2	26682	26684	30
Sat Mar 01 17:35:49 2014	1393688149	3	26833	26837	1
Sat Mar 01 17:41:44 2014	1393688504	5	26941	26946	19
Sat Mar 01 17:40:43 2014	1393688443	3	26981	26984	106
Sat Mar 01 17:40:18 2014	1393688418	0	27055	27056	1
Sat Mar 01 17:41:45 2014	1393688505	8	27111	27119	87
Sat Mar 01 17:40:41 2014	1393688441	2	27147	27149	64
Sat Mar 01 17:35:48 2014	1393688148	1	27279	27280	14
Sat Mar 01 17:41:44 2014	1393688504	1	27308	27309	72
Sat Mar 01 17:40:44 2014	1393688444	5	27311	27316	141
Sat Mar 01 17:41:42 2014	1393688502	3	27324	27327	1
Sat Mar 01 17:35:49 2014	1393688149	1	27372	27373	4
Sat Mar 01 17:40:20 2014	1393688420	3	27453	27456	9
Sat Mar 01 17:35:48 2014	1393688148	3	27516	27519	1
Sat Mar 01 17:41:43 2014	1393688503	7	27515	27523	53
Sat Mar 01 17:41:44 2014	1393688504	1	27556	27557	1
Sat Mar 01 17:40:19 2014	1393688419	0	27571	27571	28
Sat Mar 01 17:35:48 2014	1393688148	1	27576	27577	32
Sat Mar 01 17:38:40 2014	1393688320	2	27633	27635	18
Sat Mar 01 17:35:49 2014	1393688149	1	27732	27733	1
Sat Mar 01 17:35:50 2014	1393688150	4	27777	27780	7
Sat Mar 01 17:41:43 2014	1393688503	0	27861	27862	8
Sat Mar 01 17:41:42 2014	1393688502	4	27901	27905	154
Sat Mar 01 17:35:49 2014	1393688149	3	27927	27930	1
Sat Mar 01 17:35:49 2014	1393688149	0	27960	27961	0
Sat Mar 01 17:33:03 2014	1393687983	5	27968	27973	9
Sat Mar 01 17:39:14 2014	1393688354	1	27973	27974	40
Sat Mar 01 17:39:14 2014	1393688354	3	27996	27998	12
Sat Mar 01 17:35:48 2014	1393688148	5	28011	28016	9
Sat Mar 01 17:35:49 2014	1393688149	0	28038	28038	1
Sat Mar 01 17:35:49 2014	1393688149	2	28050	28052	9
Sat Mar 01 17:40:16 2014	1393688416	0	28058	28058	8
Sat Mar 01 17:41:43 2014	1393688503	6	28056	28061	39
Sat Mar 01 17:35:50 2014	1393688150	5	28078	28083	7
Sat Mar 01 17:35:49 2014	1393688149	1	28143	28143	1
Sat Mar 01 17:35:49 2014	1393688149	1	28145	28145	1
Sat Mar 01 17:35:50 2014	1393688150	5	28163	28168	8
Sat Mar 01 17:39:13 2014	1393688353	3	28169	28171	34
Sat Mar 01 17:41:40 2014	1393688500	8	28182	28190	169
Sat Mar 01 17:40:36 2014	1393688436	5	28192	28198	28
Sat Mar 01 17:35:50 2014	1393688150	4	28223	28226	21
Sat Mar 01 17:35:49 2014	1393688149	1	28233	28234	6
Sat Mar 01 17:35:48 2014	1393688148	1	28237	28238	32
Sat Mar 01 17:39:12 2014	1393688352	3	28240	28242	7
Sat Mar 01 17:35:49 2014	1393688149	1	28250	28251	4
Sat Mar 01 17:39:13 2014	1393688353	6	28256	28261	50
Sat Mar 01 17:35:49 2014	1393688149	1	28270	28270	21
Sat Mar 01 17:35:49 2014	1393688149	3	28298	28301	20
Sat Mar 01 17:35:50 2014	1393688150	4	28299	28303	1
Sat Mar 01 17:38:42 2014	1393688322	6	28303	28309	153
Sat Mar 01 17:35:49 2014	1393688149	0	28314	28314	1
Sat Mar 01 17:41:41 2014	1393688501	1	28346	28346	9
Sat Mar 01 17:39:12 2014	1393688352	1	28356	28357	153
Sat Mar 01 17:39:13 2014	1393688353	1	28367	28368	56
Sat Mar 01 17:39:12 2014	1393688352	4	28366	28371	151
Sat Mar 01 17:39:12 2014	1393688352	5	28368	28372	21
Sat Mar 01 17:39:13 2014	1393688353	6	28399	28405	125
Sat Mar 01 17:41:43 2014	1393688503	1	28418	28418	9
Sat Mar 01 17:35:49 2014	1393688149	1	28481	28482	21
Sat Mar 01 17:39:12 2014	1393688352	1	28485	28486	1
Sat Mar 01 17:39:12 2014	1393688352	1	28487	28488	4
Sat Mar 01 17:40:19 2014	1393688419	1	28490	28491	45
Sat Mar 01 17:39:11 2014	1393688351	1	28505	28506	6
Sat Mar 01 17:38:40 2014	1393688320	3	28516	28519	42
Sat Mar 01 17:39:11 2014	1393688351	2	28535	28537	37
Sat Mar 01 17:39:11 2014	1393688351	3	28535	28538	3
Sat Mar 01 17:35:49 2014	1393688149	0	28541	28541	1
Sat Mar 01 17:35:49 2014	1393688149	1	28550	28551	1
Sat Mar 01 17:35:49 2014	1393688149	0	28559	28560	2
Sat Mar 01 17:38:42 2014	1393688322	3	28572	28576	40
Sat Mar 01 17:39:11 2014	1393688351	1	28577	28578	57
Sat Mar 01 17:39:08 2014	1393688348	1	28590	28591	7
Sat Mar 01 17:39:12 2014	1393688352	3	28597	28600	99
Sat Mar 01 17:41:11 2014	1393688471	7	28594	28601	24
Sat Mar 01 17:35:49 2014	1393688149	1	28602	28603	1
Sat Mar 01 17:39:12 2014	1393688352	6	28613	28619	46
Sat Mar 01 17:39:13 2014	1393688353	6	28622	28627	138
Sat Mar 01 17:35:49 2014	1393688149	11	28619	28630	3
Sat Mar 01 17:39:12 2014	1393688352	14	28616	28631	113
Sat Mar 01 17:39:13 2014	1393688353	10	28628	28637	149
Sat Mar 01 17:41:39 2014	1393688499	1	28639	28640	44
Sat Mar 01 17:37:13 2014	1393688233	4	28669	28673	21
Sat Mar 01 17:37:13 2014	1393688233	2	28683	28685	53
Sat Mar 01 17:35:50 2014	1393688150	1	28695	28695	7
Sat Mar 01 17:37:13 2014	1393688233	1	28697	28697	5
Sat Mar 01 17:35:49 2014	1393688149	1	28698	28699	1
Sat Mar 01 17:35:49 2014	1393688149	6	28707	28713	3
Sat Mar 01 17:38:41 2014	1393688321	1	28713	28714	4
Sat Mar 01 17:35:49 2014	1393688149	1	28736	28737	1
Sat Mar 01 17:39:12 2014	1393688352	1	28738	28739	207
Sat Mar 01 17:39:12 2014	1393688352	1	28742	28743	1
Sat Mar 01 17:39:11 2014	1393688351	1	28754	28755	14
Sat Mar 01 17:38:42 2014	1393688322	1	28763	28764	153
Sat Mar 01 17:35:49 2014	1393688149	6	28766	28772	1
Sat Mar 01 17:39:08 2014	1393688348	3	28790	28793	167
Sat Mar 01 17:35:50 2014	1393688150	9	28790	28799	5
Sat Mar 01 17:35:49 2014	1393688149	0	28801	28802	4
Sat Mar 01 17:39:11 2014	1393688351	7	28807	28814	16
Sat Mar 01 17:39:08 2014	1393688348	0	28815	28815	8
Sat Mar 01 17:35:48 2014	1393688148	1	28817	28818	4
Sat Mar 01 17:35:50 2014	1393688150	1	28821	28822	1
Sat Mar 01 17:37:13 2014	1393688233	5	28821	28827	32
Sat Mar 01 17:37:14 2014	1393688234	1	28828	28828	2
Sat Mar 01 17:39:11 2014	1393688351	8	28822	28830	28
Sat Mar 01 17:37:13 2014	1393688233	1	28831	28831	1
Sat Mar 01 17:35:50 2014	1393688150	1	28831	28832	1
Sat Mar 01 17:38:40 2014	1393688320	1	28844	28844	35
Sat Mar 01 17:38:40 2014	1393688320	1	28857	28858	1
Sat Mar 01 17:35:50 2014	1393688150	1	28862	28863	21
Sat Mar 01 17:39:11 2014	1393688351	6	28862	28869	23
Sat Mar 01 17:40:18 2014	1393688418	1	28873	28873	1
Sat Mar 01 17:39:11 2014	1393688351	1	28881	28881	62
Sat Mar 01 17:38:42 2014	1393688322	3	28880	28883	153
Sat Mar 01 17:35:50 2014	1393688150	4	28892	28896	3
Sat Mar 01 17:35:49 2014	1393688149	0	28896	28897	7
Sat Mar 01 17:37:14 2014	1393688234	1	28897	28898	4
Sat Mar 01 17:37:43 2014	1393688263	3	28916	28919	54
Sat Mar 01 17:38:41 2014	1393688321	1	28918	28919	1
Sat Mar 01 17:35:50 2014	1393688150	3	28917	28920	36
Sat Mar 01 17:37:13 2014	1393688233	1	28927	28928	23
Sat Mar 01 17:37:11 2014	1393688231	10	28930	28940	160
Sat Mar 01 17:38:41 2014	1393688321	6	28939	28946	121
Sat Mar 01 17:39:11 2014	1393688351	4	28948	28952	88
Sat Mar 01 17:37:40 2014	1393688260	2	28950	28952	9
Sat Mar 01 17:38:12 2014	1393688292	1	28960	28961	6
Sat Mar 01 17:39:09 2014	1393688349	1	28961	28962	5
Sat Mar 01 17:39:10 2014	1393688350	1	28971	28972	1
Sat Mar 01 17:38:12 2014	1393688292	1	28974	28975	1
Sat Mar 01 17:37:41 2014	1393688261	3	28971	28975	32
Sat Mar 01 17:37:13 2014	1393688233	2	28983	28985	7
Sat Mar 01 17:38:13 2014	1393688293	1	28990	28990	56
Sat Mar 01 17:35:49 2014	1393688149	2	28988	28991	6
Sat Mar 01 17:35:50 2014	1393688150	7	28988	28995	8
Sat Mar 01 17:37:14 2014	1393688234	1	28997	28998	5
Sat Mar 01 17:38:12 2014	1393688292	1	29038	29039	7
Sat Mar 01 17:38:43 2014	1393688323	2	29038	29040	21
Sat Mar 01 17:38:39 2014	1393688319	1	29041	29042	11
Sat Mar 01 17:39:10 2014	1393688350	1	29052	29053	1
Sat Mar 01 17:37:13 2014	1393688233	6	29051	29057	15
Sat Mar 01 17:37:13 2014	1393688233	1	29066	29067	23
