starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 18:10:38 2014	1393690238	1	20301	20302	1
Sat Mar 01 18:09:05 2014	1393690145	0	20349	20349	1
Sat Mar 01 18:10:38 2014	1393690238	0	20392	20392	2
Sat Mar 01 18:09:58 2014	1393690198	0	20415	20415	1
Sat Mar 01 18:09:05 2014	1393690145	0	20437	20437	1
Sat Mar 01 18:08:48 2014	1393690128	3	20476	20478	31
Sat Mar 01 18:10:41 2014	1393690241	1	20634	20635	1
Sat Mar 01 18:08:50 2014	1393690130	32	20606	20638	14
Sat Mar 01 18:10:19 2014	1393690219	3	20737	20740	2
Sat Mar 01 18:10:45 2014	1393690245	23	20718	20741	16
Sat Mar 01 18:10:22 2014	1393690222	1	20749	20750	1
Sat Mar 01 18:10:35 2014	1393690235	0	20753	20753	11
Sat Mar 01 18:11:10 2014	1393690270	4	20777	20781	3
Sat Mar 01 18:10:46 2014	1393690246	1	20819	20820	0
Sat Mar 01 18:10:22 2014	1393690222	0	20852	20852	1
Sat Mar 01 18:09:20 2014	1393690160	5	20857	20862	10
Sat Mar 01 18:07:54 2014	1393690074	3	20956	20959	4028
Sat Mar 01 18:10:39 2014	1393690239	1	20976	20977	14
Sat Mar 01 18:10:42 2014	1393690242	4	20979	20983	1
Sat Mar 01 18:10:44 2014	1393690244	4	21009	21013	1
Sat Mar 01 18:10:35 2014	1393690235	2	21112	21114	2
Sat Mar 01 18:10:33 2014	1393690233	4	21141	21144	5
Sat Mar 01 18:10:41 2014	1393690241	3	21151	21155	1
Sat Mar 01 18:10:44 2014	1393690244	7	21149	21156	10
Sat Mar 01 18:09:24 2014	1393690164	1	21158	21159	5
Sat Mar 01 18:07:54 2014	1393690074	3	21171	21175	3254
Sat Mar 01 18:10:45 2014	1393690245	0	21211	21211	3
Sat Mar 01 18:10:17 2014	1393690217	1	21215	21216	1
Sat Mar 01 18:08:50 2014	1393690130	14	21223	21237	9
Sat Mar 01 18:08:49 2014	1393690129	0	21283	21283	1
Sat Mar 01 18:07:54 2014	1393690074	3	21285	21288	3144
Sat Mar 01 18:10:15 2014	1393690215	4	21290	21294	2
Sat Mar 01 18:10:41 2014	1393690241	5	21293	21298	3
Sat Mar 01 18:10:04 2014	1393690204	3	21379	21382	1
Sat Mar 01 18:10:44 2014	1393690244	3	21468	21471	7
Sat Mar 01 18:09:05 2014	1393690145	1	21470	21471	1
Sat Mar 01 18:11:12 2014	1393690272	2	21476	21478	4
Sat Mar 01 18:08:45 2014	1393690125	4	21551	21555	4
Sat Mar 01 18:10:45 2014	1393690245	0	21590	21590	1
Sat Mar 01 18:10:43 2014	1393690243	3	21605	21608	13
Sat Mar 01 18:08:49 2014	1393690129	0	21623	21623	16
Sat Mar 01 18:08:36 2014	1393690116	0	21627	21628	2
Sat Mar 01 18:10:44 2014	1393690244	1	21690	21691	122
Sat Mar 01 18:10:46 2014	1393690246	2	21693	21695	2
Sat Mar 01 18:10:40 2014	1393690240	6	21692	21698	8
Sat Mar 01 18:10:43 2014	1393690243	3	21697	21700	3
Sat Mar 01 18:09:53 2014	1393690193	1	21715	21716	177
Sat Mar 01 18:10:46 2014	1393690246	0	21726	21727	1
Sat Mar 01 18:10:36 2014	1393690236	3	21727	21730	1
Sat Mar 01 18:10:38 2014	1393690238	1	21751	21752	1
Sat Mar 01 18:11:07 2014	1393690267	2	21761	21763	7
Sat Mar 01 18:10:01 2014	1393690201	3	21870	21873	11
Sat Mar 01 18:10:46 2014	1393690246	1	21874	21874	4
Sat Mar 01 18:09:14 2014	1393690154	2	21918	21920	2
